100	9
175	16
306	29
535	27
936	55
1638	92
2866	189
5015	322
8776	615
15358	1104
26876	2550
47033	4444
82307	8599
144037	13416
252064	26392
441112	48168
771946	89563
1350905	152233
2364083	283863
4137145	434392
7240004	745998
12670007	1308701
22172512	2320730
38801896	4181335
67903320	7651647
118830808	13326980
